Page ID	Topic	Page Type	Keyword	Meta Title	Meta Description	H1	H2	URL	Search Volume (MSV)	Keyword Difficulty (KD)	CPC (Cost Per Click)	Search Intent	Current Position
Sweatshirts Collections	Sweatshirts	Collections Page	sweatshirt	Vintage Sweatshirts, Mens Sweatshirts & Unisex Sweatshirts | Wild Donkey	Vintage-inspired sweatshirts for everyday wear. Graphic, embroidered and oversized styles built with comfort and edge.	Vintage Sweatshirts for Mens & Womens	Handcrafted Unisex Sweatshirts & Italian Lifestyle Clothing	/collections/sweatshirts	22200	40	0.58	Transactional	
Sweatshirts Collections	Sweatshirts	Collections Page	mens sweatshirts	Vintage Sweatshirts, Mens Sweatshirts & Unisex Sweatshirts | Wild Donkey	Vintage-inspired sweatshirts for everyday wear. Graphic, embroidered and oversized styles built with comfort and edge.	Vintage Sweatshirts for Mens & Womens	Handcrafted Unisex Sweatshirts & Italian Lifestyle Clothing	/collections/sweatshirts	22200	40	0.54	Commercial	
Sweatshirts Collections	Sweatshirts	Collections Page	vintage sweatshirts	Vintage Sweatshirts, Mens Sweatshirts & Unisex Sweatshirts | Wild Donkey	Vintage-inspired sweatshirts for everyday wear. Graphic, embroidered and oversized styles built with comfort and edge.	Vintage Sweatshirts for Mens & Womens	Handcrafted Unisex Sweatshirts & Italian Lifestyle Clothing	/collections/sweatshirts	1900	13	0.37	Transactional	
Sweatshirts Collections	Sweatshirts	Collections Page	vintage sweatshirts mens	Vintage Sweatshirts, Mens Sweatshirts & Unisex Sweatshirts | Wild Donkey	Vintage-inspired sweatshirts for everyday wear. Graphic, embroidered and oversized styles built with comfort and edge.	Vintage Sweatshirts for Mens & Womens	Handcrafted Unisex Sweatshirts & Italian Lifestyle Clothing	/collections/sweatshirts	880	14	0.48	Transactional	
Sweatshirts Collections	Sweatshirts	Collections Page	vintage sweatshirts womens	Vintage Sweatshirts, Mens Sweatshirts & Unisex Sweatshirts | Wild Donkey	Vintage-inspired sweatshirts for everyday wear. Graphic, embroidered and oversized styles built with comfort and edge.	Vintage Sweatshirts for Mens & Womens	Handcrafted Unisex Sweatshirts & Italian Lifestyle Clothing	/collections/sweatshirts	320	15	0.4	Commercial	
Sweatshirts Collections	Sweatshirts	Collections Page	unisex sweatshirts	Vintage Sweatshirts, Mens Sweatshirts & Unisex Sweatshirts | Wild Donkey	Vintage-inspired sweatshirts for everyday wear. Graphic, embroidered and oversized styles built with comfort and edge.	Vintage Sweatshirts for Mens & Womens	Handcrafted Unisex Sweatshirts & Italian Lifestyle Clothing	/collections/sweatshirts	140	12	0.6	Transactional	
Sweatshirts Collections	Sweatshirts	Collections Page	sweatshirts unisex	Vintage Sweatshirts, Mens Sweatshirts & Unisex Sweatshirts | Wild Donkey	Vintage-inspired sweatshirts for everyday wear. Graphic, embroidered and oversized styles built with comfort and edge.	Vintage Sweatshirts for Mens & Womens	Handcrafted Unisex Sweatshirts & Italian Lifestyle Clothing	/collections/sweatshirts	140	13		Transactional	
Sweatshirts Collections	Sweatshirts	Collections Page	vintage sweatshirts uk	Vintage Sweatshirts, Mens Sweatshirts & Unisex Sweatshirts | Wild Donkey	Vintage-inspired sweatshirts for everyday wear. Graphic, embroidered and oversized styles built with comfort and edge.	Vintage Sweatshirts for Mens & Womens	Handcrafted Unisex Sweatshirts & Italian Lifestyle Clothing	/collections/sweatshirts	90	10	0.47	Transactional	
T-Shirts Collections	T-Shirts	Collections Page	t shirt	Vintage T-Shirts, Mens T-Shirts & Womens T-Shirts | Wild Donkey	Retro T-shirts designed for self-expression. Explore graphic logos, pigment-dyed finishes and easy shapes built to last.	Vintage T-Shirts for Mens & Womens	Handcrafted Unisex T-Shirts & Italian Graphic Tees	/collections/t-shirts	74000	41	1.05	Transactional	
T-Shirts Collections	T-Shirts	Collections Page	mens t shirts	Vintage T-Shirts, Mens T-Shirts & Womens T-Shirts | Wild Donkey	Retro T-shirts designed for self-expression. Explore graphic logos, pigment-dyed finishes and easy shapes built to last.	Vintage T-Shirts for Mens & Womens	Handcrafted Unisex T-Shirts & Italian Graphic Tees	/collections/t-shirts	60500	36	0.97	Commercial	
